Permit Number,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Name,Unit,Description,Current Status,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Estimated Cost,Revised Cost,Existing Use,Existing Units,Supervisor District,Proposed Use,Proposed Units,Plansets,Zipcode
201410239763,additions alterations or repairs,10/23/2014,4005,006,1501,Mariposa,0.0,"change occupancy from a-2 to e, previoous bldg use as an office, a permit was issued to expand the adjcent e-occupancy at 1555 mariposa st into the 1501 mariposa st located at the ground level. the permit was approved w/o benefit of change of use from a to e occupancy. ref pa# 2014/01/30/7393.",complete,,4.0,4.0,1.0,1.0,adult entertainment,0.0,10.0,school,0.0,2.0,94107.0
201602129577,otc alterations permit,02/12/2016,3709,006A,50,Fremont,,"project consists of ada, finish and fixture upgrades to an existing single user restroom located on the buildings basement. maher na",complete,,43.0,43.0,52000.0,52000.0,office,0.0,6.0,office,0.0,2.0,94105.0
201508063560,sign - erect,08/06/2015,1743,021,614,Irving,,erect non illuminated single faced wall sign,issued,,1.0,,900.0,900.0,clinics-medic/dental,0.0,5.0,,,2.0,94122.0
201707101413,otc alterations permit,07/10/2017,0155,050,1215,Broadway,,re-roofing,complete,,2.0,2.0,14800.0,15000.0,2 family dwelling,2.0,3.0,2 family dwelling,2.0,0.0,94109.0
201506118693,otc alterations permit,06/11/2015,5527,012,324,Montcalm,,"renovation of e 1st, 2nd, and 3rd fl. addition of 480 sf of habitable space at gr fl, addition of 3rd fl dormers, infill under e 2nd fl",complete,Y,2.0,3.0,175000.0,350000.0,1 family dwelling,1.0,9.0,1 family dwelling,1.0,2.0,94110.0
201703282532,otc alterations permit,03/28/2017,0673,007,1570,Sutter,,exploratory permit for purposes of looking the (e) construction in the halls only. remove and replace wall and ceiling finish in-kind. approx. 50 sq. ft. total.,issued,,4.0,4.0,1500.0,1500.0,residential hotel,75.0,5.0,residential hotel,75.0,0.0,94109.0
201605248219,otc alterations permit,05/24/2016,1763,019B,1391,08th,,install 7 residential sprinklers in legalized unit clouded ref 201509177276,complete,,4.0,4.0,5500.0,3682.0,apartments,17.0,5.0,apartments,17.0,2.0,94122.0
201606149919,otc alterations permit,06/14/2016,4807,017,1229,Underwood,,operating a tow firm from vacant lot. store tow trucksmaher na,complete,,,,1.0,1.0,vacant lot,,10.0,parking lot,,2.0,94124.0
201605096911,otc alterations permit,05/09/2016,1419,031,268,15th,,permeation grouting beneath (e) foundation. approximately 27 linear feet on rear north foundation side.,complete,,3.0,3.0,4500.0,4500.0,2 family dwelling,2.0,1.0,2 family dwelling,2.0,2.0,94118.0
201710231949,otc alterations permit,10/23/2017,3794,022,135,Townsend,,2/f: add 9 sprinklers to (e) fire sprinkler system. ref t.i. 201709259515. maher n/a.,complete,,5.0,5.0,450.0,4500.0,office,0.0,6.0,office,0.0,2.0,94107.0
201507020576,otc alterations permit,07/02/2015,0849,006,217,Webster,,"revision to appl #2015.0603.8022 - dryrot repair, additoin of 3 posts & 2 beams inboard of deck connection.",complete,,3.0,3.0,400.0,2500.0,apartments,3.0,5.0,apartments,3.0,2.0,94117.0
201503110514,otc alterations permit,03/11/2015,0135,008,1050,Sansome,,ti 5th & 6th fl: 2 new a/c units - roof top. 2 new split system a/c units. 1 exhaust fanref pa# 2015 0304 9904,complete,,6.0,6.0,60000.0,60000.0,office,,3.0,office,,2.0,94111.0
201603162178,otc alterations permit,03/16/2016,1505,039,7555,Geary,,apt 303: kitchen remodeling; electric panel upgrade.,complete,,3.0,3.0,10000.0,15000.0,apartments,18.0,1.0,apartments,18.0,0.0,94121.0
201510089224,otc alterations permit,10/08/2015,3631,051,999,Dolores,0.0,reroof,complete,,1.0,1.0,24000.0,24000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,0.0,94110.0
201509237906,otc alterations permit,09/23/2015,1262,025,840,Stanyan,,reroofing. pitched roof. remove existing roof covering and replace in-kind with composition shingles to match color. no change in roof pitch or form.,complete,,2.0,2.0,5000.0,8000.0,1 family dwelling,1.0,5.0,1 family dwelling,1.0,0.0,94117.0
M820767,otc alterations permit,08/18/2017,0577,001D,1809,Broadway,0.0,street space,issued,,,,,1.0,,,2.0,,,,94109.0
M615587,otc alterations permit,08/18/2015,0280,002,839,Leavenworth,,street space permit,issued,,,,,1.0,,,3.0,,,,94109.0
201601116740,otc alterations permit,01/11/2016,3708,043,595,Market,,"install 1 booster panel, 1 wall mount speaker-strobe, 1 smoke detector with base, 1 duct detector with housing, 3 control relay modules, 3 monitor modules. t.i. pa# 201512013795",issued,,31.0,31.0,1500.0,7200.0,office,,6.0,office,,2.0,94105.0
201410169043,otc alterations permit,10/16/2014,1004,003,2193,Divisadero,,remove existing gate. construct new gate 4' forward and construct 2nd gate adjacent to gate 1,issued,,2.0,2.0,1500.0,1500.0,2 family dwelling,2.0,2.0,2 family dwelling,2.0,2.0,94115.0
201801108314,otc alterations permit,01/10/2018,3077,035,54,San Jacinto,,reroofing,complete,,2.0,2.0,22000.0,22000.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,0.0,94127.0
201602038754,otc alterations permit,02/03/2016,0343,008,48,Golden Gate,,install hvac system in space with bldg automation system. ref pa 2014-1203-2899. maher na,issued,,6.0,6.0,80000.0,80000.0,office,76.0,6.0,office,76.0,2.0,94102.0
201307031093,otc alterations permit,07/03/2013,4224,031,1073,Texas,,to comply with physical inspection report cc-7262,complete,,4.0,4.0,500.0,500.0,apartments,3.0,10.0,apartments,3.0,0.0,94107.0
201710121024,additions alterations or repairs,10/12/2017,4336,002A,2830,Bryant,,"construct (1) bedroom, (1) bath adu unit @ 1st floor per ord #162-16",filed,,3.0,3.0,65000.0,,2 family dwelling,2.0,9.0,apartments,3.0,2.0,94110.0
201601278067,additions alterations or repairs,01/27/2016,1069,017B,190,Collins,,"no work. document 4 units, not 5. existing full bath and wet bar in garage storage. maher not req",complete,,3.0,3.0,1.0,18900.0,apartments,5.0,2.0,apartments,4.0,2.0,94118.0
201510169987,otc alterations permit,10/16/2015,0341,008,56,Mason,,to obtain final inspection for work approved under pa#201209260723.  all work is complete.,issued,,4.0,4.0,26285.0,1.0,tourist hotel/motel,58.0,6.0,tourist hotel/motel,58.0,0.0,94102.0
M620747,otc alterations permit,09/09/2015,0971,003B,3424,Jackson,,street space,issued,,,,,0.0,,,2.0,,,,94118.0
201612195368,otc alterations permit,12/19/2016,7088,053,309,Sargent,,kitchen and 3 bathrooms remodel. legalize bedroom at ground floor.,complete,,2.0,2.0,45000.0,60000.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,2.0,94132.0
201409176613,additions alterations or repairs,09/17/2014,7074,048,409,Shields,,demo(e)walls on grd flr.includes struc wk.(n)partition walls&bathrm on grd flr.(n)laundry rm with washer/ dryer on grd flr.(n)sliding glass dr on rear facade&(n)fixed glass.(n)pony wall at stair opening.(n)bedrm on grd fl. 2nd fl - replacement of (e) window on street -separate permit.,complete,,2.0,2.0,25000.0,123000.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,2.0,94132.0
201704285185,otc alterations permit,04/28/2017,5690,044,1500,Cortland,0.0,voluntary structural improvemnets as adding plywood sheathing & sill plate anchor bolts at front wall of building.,complete,,4.0,4.0,7125.0,7125.0,apartments,4.0,9.0,apartments,4.0,2.0,94110.0
201406168508,otc alterations permit,06/16/2014,3793,113,88,King,608.0,"remodeling bathroom, remodel bath tub & install new shower, install zoning valve in unit # 608",complete,,14.0,14.0,15000.0,15000.0,apartments,233.0,6.0,apartments,233.0,0.0,94107.0
201701247770,additions alterations or repairs,01/24/2017,2364,047,2433,Santiago,,change (e) circular stair to connectional stair from 2nd floor to ground floor per plan.,withdrawn,,2.0,2.0,6000.0,,1 family dwelling,1.0,4.0,1 family dwelling,1.0,2.0,94116.0
201404143155,otc alterations permit,04/14/2014,1183,007,629,Broderick,0.0,to comply with physical inspection report cc-7482,complete,,3.0,3.0,3000.0,3000.0,apartments,3.0,5.0,apartments,3.0,0.0,94117.0
201308224956,otc alterations permit,08/22/2013,0232,016,3,Embarcadero Center,,revision to 201306250449 to add approved hand written notes into plan set per inspectors request,filed,,30.0,30.0,1.0,1.0,office,0.0,3.0,,0.0,2.0,94111.0
201609097205,otc alterations permit,09/09/2016,0306,022,545,Post,,"modify existing ductwork for hvac systems, kitchen hoods, make up air unit. ref pa 2016-0620-0396",issued,,7.0,7.0,80000.0,80000.0,food/beverage hndlng,109.0,3.0,food/beverage hndlng,109.0,2.0,94102.0
201605177566,otc alterations permit,05/17/2016,0238,001,275,Battery,0.0,24th floor: fire alarm- add 1 strobe.reference ti 201604265687.,complete,,32.0,32.0,510.0,510.0,office,,3.0,office,,2.0,94104.0
201704174087,otc alterations permit,04/17/2017,3566,020,2,Abbey,,"1st fl remove (e) interior stairs, at 2nd floor remodel existing kitchen and bath",complete,,2.0,2.0,20000.0,50000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94114.0
201508033193,otc alterations permit,08/03/2015,1637,021,670,08th,,revision to app#201505206783. new foundation at line f. new grade beam at line k moved to keep extg front foundation.,complete,,3.0,3.0,1.0,1.0,apartments,5.0,1.0,apartments,5.0,2.0,94118.0
201711063258,otc alterations permit,11/06/2017,0708,021,1489,Webster,,modify of sprinkler system to accomodate new partitioning for unit #703 (pa 2017-1003-0259). total relocate 3 and add 3 sprinklers,complete,,14.0,14.0,3000.0,3000.0,apartments,156.0,5.0,apartments,156.0,2.0,94115.0
201602290813,additions alterations or repairs,02/29/2016,0875,023,462,Duboce,,add fire sprinklers in the non sprinklered areas of the (e) 4th & 6th floor residential building. these building have an (e) sprinkler system & is fully sprinklered in some areas. all pipes are concealed & all areas are occupied. 250 new sprinklers.,complete,,6.0,6.0,150000.0,150000.0,apartments,42.0,8.0,apartments,42.0,2.0,94117.0
201503272078,additions alterations or repairs,03/27/2015,2769,006,428,Collingwood,,"horizontal addition, vertical addition of one story, additional 3 bedrooms and 3 baths on level 3, new interior layout on all floors, new electrical, new plumbing, new roof deck, minor excavation and finishing of garage level",complete,Y,2.0,3.0,190000.0,466928.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94114.0
201402078001,otc alterations permit,02/07/2014,7097,027,54,Rae,,"comply with complaint #201448021, remodel (e) kitchen, bathroom, replace (e) sheetrock with 5/8"" gyp. bd ""x"" & r-13 insulation and convert (e) closet into toilet room and replace 12 windows, not visable from street.",complete,,2.0,2.0,32000.0,32000.0,1 family dwelling,1.0,11.0,1 family dwelling,1.0,2.0,94112.0
201607142292,otc alterations permit,07/14/2016,1260,012,21,Scott,0.0,"to make 2 bedroom 2 bath unit, 2nd fl remodel of  units 21. non structural walls, replace south and rear existing single pane windows and exterior rear door with wood frame dual pane insulated low e units. no expansion of the bldg envelope or change to front facade",complete,,2.0,2.0,75000.0,75000.0,apartments,3.0,8.0,apartments,3.0,2.0,94117.0
201307081272,otc alterations permit,07/08/2013,2790,020,369,Dellbrook,,reroofing,complete,,2.0,2.0,13250.0,13250.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,0.0,94131.0
201406067777,otc alterations permit,06/06/2014,4162,020,2770,23rd,,remove and replace two windows at front with new wood sash.,complete,,2.0,2.0,1000.0,1000.0,1 family dwelling,1.0,10.0,1 family dwelling,1.0,0.0,94107.0
M554887,otc alterations permit,01/29/2015,1521,030A,530,24th,,street space,issued,,,,,1.0,,,1.0,,,,94121.0
M397387,otc alterations permit,05/28/2013,3780,004D,580,07th,,"the 2nd address at block 3780, lot 004d per pa #201301288866 as; 580 7th street",issued,,,,,267.24,,,6.0,,,,94103.0
201309308092,otc alterations permit,09/30/2013,3652,037,3879,23rd,,"repair front stairs, less than 50%",complete,,3.0,3.0,5000.0,5000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,0.0,94114.0
201704043143,otc alterations permit,04/04/2017,0598,006,1740,Washington,0.0,"#203 - kitchen & bathroom remodel. kitchen: new cabinets, sink, counters, floor surface, appliances, light fixtures, new windows (like for like), u<94, not visible from street. new rear rntry door form kitchen. bath: new tile on floor & wall, new fixtrues, new lights.",issued,,3.0,3.0,21750.0,34000.0,apartments,12.0,3.0,apartments,12.0,0.0,94109.0
201410078322,otc alterations permit,10/07/2014,0570,018,2340,Franklin,,to comply with physical inspection report #cc - 7516,complete,,3.0,3.0,10500.0,10500.0,apartments,3.0,2.0,apartments,3.0,0.0,94123.0
201712085867,otc alterations permit,12/08/2017,3533,067,141,Duboce,,soft story retrofit to comply with 2016 sfebc chapter 4d per 2016 cebc appendix a4 criteria,issued,,4.0,4.0,36000.0,69000.0,apartments,6.0,8.0,apartments,6.0,2.0,94103.0
201404284304,otc alterations permit,04/28/2014,3923,006,1550,Bryant,,4th floor suite #400/490: add and relocate ssp and ssu to accomodate new t.i.  changes(13 heads total). ref app#201404173490. n/a for the maher ordinance #155-13,issued,,12.0,12.0,6708.0,6708.0,office,,9.0,office,,2.0,94103.0
201308134158,otc alterations permit,08/13/2013,0822,024,632,Steiner,0.0,exploritory demo for future ground floor structural upgraes. open up non bearing walls on ground floor only,complete,,3.0,3.0,2000.0,2000.0,apartments,3.0,5.0,apartments,3.0,0.0,94117.0
201707283279,otc alterations permit,07/28/2017,2126,018,1904,09th,,"1st floor: add 2 bedrooms, 1 full bath, family room and wet  bar. 2nd floor: total remodel and add half bath. new deck at rear. 3rd floor: remodel bath and add 1 full bath. new roof deck at rear. no work visible from street.",issued,Y,3.0,3.0,100000.0,160000.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,2.0,94116.0
201402067993,otc alterations permit,02/06/2014,8721,032,455,Mission Bay Blvd South,0.0,installation of research and development dna synthesis equipment and supporting chemical supply cabinet into existing laboratory. laboratory is equipped with cda and ventilation. mechanical installaton will include ducting to existing building ventilation with connection to existing domestic 110v,complete,,5.0,5.0,12000.0,12000.0,clinics-medic/dental,0.0,6.0,clinics-medic/dental,0.0,2.0,94158.0
201709127748,otc alterations permit,09/12/2017,1700,001,55,Music Concourse,,relocate (2) wall mount strobes. n/a ordinance #155-13,complete,,3.0,3.0,7349.0,1200.0,museum,0.0,1.0,museum,0.0,2.0,94122.0
201401095937,otc alterations permit,01/09/2014,0977,013,2898,Jackson,,unit #201:  remove sheet rock under bedroom interior window due to water damage treat and replace sheet rock repair texture and paint,complete,,3.0,3.0,3000.0,3000.0,apartments,14.0,2.0,apartments,14.0,0.0,94115.0
201612074378,otc alterations permit,12/07/2016,0728,079,1332,Scott,26.0,"install new kitchen cabinets and sink, replace in-kind, approx. 10' x 8'.move gas to access through cabinets. install under cabinet lights.",complete,,3.0,3.0,20000.0,20000.0,apartments,16.0,5.0,apartments,16.0,0.0,94115.0
201310189714,otc alterations permit,10/18/2013,3588,026,43,Lapidge,,"revision to existing permit #2013-09-16-6870  remodel kitchen and bathroom, add sink to water closet, open interior wall, provide new structural beams and create laundry closet. third floor only.  permit fees paid under 201309166870.",issued,,3.0,3.0,1.0,1.0,2 family dwelling,2.0,8.0,2 family dwelling,2.0,2.0,94110.0
201503100358,otc alterations permit,03/10/2015,0061C,005,1725,Kearny,5.0,"full interior remodel, new windows throughout - like for like, new finishes.",issued,,4.0,4.0,450000.0,450000.0,apartments,5.0,,apartments,5.0,2.0,
201511102240,otc alterations permit,11/10/2015,3774,067,501,02nd,,"t.i. to combine 402 and 410 demo demising wall, interior partitions, ceilings, floors, doors & windows. new finishes, lightings & furniture in open office. maher na",complete,,5.0,5.0,300000.0,300000.0,office,0.0,6.0,office,0.0,2.0,94107.0
M869827,otc alterations permit,12/22/2017,1025,037,2009,Divisadero,,street space,issued,,,,,1.0,,,2.0,,,,94115.0
M437087,otc alterations permit,10/21/2013,3629,024,1085,Church,,street space,issued,,,,,1.0,,,8.0,,,,94114.0
201701268023,otc alterations permit,01/26/2017,3546,034,425,14th,3.0,repair interior stairs at all floors,complete,,4.0,4.0,8000.0,8000.0,apartments,5.0,8.0,apartments,5.0,2.0,94103.0
201711174302,otc alterations permit,11/17/2017,0808,019,550,Octavia,0.0,comply with nov #201716711. soft story retrofit per sfebc chapter 4d engineering criteria on 2016 cebc appedndix a-4. commercial portion approved under 2016-05-06-6810.,issued,,3.0,3.0,50000.0,70000.0,apartments,6.0,5.0,apartments,6.0,2.0,94102.0
201708316515,otc alterations permit,08/31/2017,5900A,025,801,Silver,,"to obtain final inspection for work approved under pa#201407080724, all work is completed.",complete,,2.0,2.0,1.0,1.0,church,0.0,9.0,church,0.0,0.0,94134.0
201410300372,otc alterations permit,10/30/2014,1002,011,2810,Clay,0.0,"revision changes a.00 to reflect non sprinklered status to pa #2013.0918.7184-s1 - correction of error on documents: building is non sprinklered, drawings state bldg is partially sprinklered. n/a marher ordinance",complete,,3.0,3.0,1.0,1.0,apartments,3.0,2.0,2 family dwelling,2.0,2.0,94115.0
201603141992,additions alterations or repairs,03/14/2016,1521,008,453,23rd,,"comply w/ nov 201692661, to legalize g/f unit per ordinance 43-14 at rear bldg, t0 comply with 201692661, to add 2 bedrooms, 1 full bathroom, kitchen and living room.  working at rear building.",issued,,2.0,2.0,2500.0,25000.0,1 family dwelling,1.0,1.0,1 family dwelling,2.0,2.0,94121.0
201310119129,additions alterations or repairs,10/11/2013,0646,005,1528,Pine,,1)change occupancy of floor 1 from (b) as approved per app#201210010986/r to b (a-2).  2)remodel floor 1  restroom.,withdrawn,,2.0,2.0,80000.0,,automobile sales,0.0,3.0,food/beverage hndlng,0.0,2.0,94109.0
201704254779,otc alterations permit,04/25/2017,0460A,015,3518,Webster,,"replace 8 sashes with new wood to match existing. double glazed new hardware, wood sashes.",complete,,2.0,2.0,5000.0,5000.0,1 family dwelling,1.0,2.0,1 family dwelling,1.0,0.0,94123.0
201502027192,otc alterations permit,02/02/2015,1271,023,82,Parnassus,,"convert (e) close to new half bath on 2nd floor, relocate (e) closet to laundry. n/a maher ordinance; replace kitchen cabinet and countertop and also countertop in bathroom.",complete,,3.0,3.0,10000.0,10000.0,apartments,3.0,5.0,apartments,3.0,2.0,94117.0
201405206185,otc alterations permit,05/20/2014,2041,015A,1789,08th,,replace existing windows facing the street with milgard ultra series fiberglass windows in white.  total windows to replace 7,complete,,3.0,3.0,3500.0,3500.0,2 family dwelling,2.0,7.0,2 family dwelling,2.0,0.0,94122.0
201511092169,otc alterations permit,11/09/2015,6503,008,52,Homestead,,revision to permit 201205049828 to ammend structural temp shoring at rear from soldier piers to slice cuts sections of existing rock formation.,complete,,2.0,3.0,1.0,1.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94114.0
201308083796,otc alterations permit,08/08/2013,3567,052,3566,17th,3.0,reroofing,complete,,3.0,3.0,17475.0,17475.0,apartments,4.0,8.0,apartments,4.0,0.0,94110.0
201411070957,otc alterations permit,11/07/2014,1720,027,1276,31st,,"revise (e) kitchen upgrade, kitchen cabinets, counter & applicanes.  revision to permit #201310300727",complete,,2.0,2.0,20000.0,20000.0,1 family dwelling,1.0,4.0,1 family dwelling,1.0,0.0,94122.0
201801098115,otc alterations permit,01/09/2018,0265,003,388,Market,,1st flr: fire alarm ti ref pa 201710050533- replace 1 (e) speaker/strobe. add 1 new speaker  maher na,issued,,26.0,26.0,4000.0,4000.0,office,63.0,3.0,retail sales,63.0,2.0,94111.0
201501165970,otc alterations permit,01/16/2015,0556,061,2128,Vallejo,4.0,"#4 - kitchen remodel, new cabinets, enlarge window, new fixtures.",complete,,3.0,3.0,83500.0,83500.0,apartments,4.0,2.0,apartments,4.0,2.0,94123.0
M874027,otc alterations permit,01/08/2018,0978,002,2457,Scott,,street space,issued,,,,,1.0,,,2.0,,,,94115.0
201605167521,otc alterations permit,05/16/2016,3650,049,1165,Church,,revision to pa#201605107003. only repair dry rot. tiles on floor bathroom only.,complete,,3.0,3.0,500.0,500.0,apartments,8.0,8.0,apartments,8.0,0.0,94114.0
201502138306,otc alterations permit,02/13/2015,3617,059,953,Guerrero,,"soft story retrofit per sfbc chapter 34b, 2012 iebc appendix a-4: seismic improvements to lower level of 3 story multi unit residential building to mitigate soft story of bldg ch 34 b sfbc",issued,,4.0,4.0,35000.0,55000.0,apartments,7.0,8.0,apartments,7.0,2.0,94110.0
M366728,otc alterations permit,01/16/2013,1181,015,736,Divisadero,,street space and mta parking,issued,,,,,1.0,,,5.0,,,,94117.0
201601076572,additions alterations or repairs,01/07/2016,2767,001A,408,Eureka,,"renovation & expansion of single family residence with vertical addition. enclosure of (e) exterior access stair, new powder room @ (e) 2nd floor. new 3rd floor with 3 bedrooms & 1 bathroom. new deck & stair @ rear of 2nd floor. new stair @ rear of (e) 1st floor.",issued,Y,2.0,3.0,255000.0,337000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,2.0,94114.0
201504173957,otc alterations permit,04/17/2015,3708,056,525,Market,,2nd floor: fire sprinkler t.i. total relocated heads - 84 heads. total added heads - 03 heads. ref. appl. #2015.0218.8543.,complete,,38.0,38.0,44772.0,44772.0,office,0.0,6.0,office,0.0,2.0,94105.0
201702109188,otc alterations permit,02/10/2017,0154,027,1966,Larkin,,"renovate (e) 2nd & 3rd flr apts. at 2nd - remove kitchen & bath, add new kitchen and 2 new bathrooms. at 3rd - remove kitchen & bath, add new kitchen & 2 new bathrooms.",issued,,3.0,3.0,96000.0,170000.0,apartments,3.0,3.0,apartments,3.0,2.0,94109.0
M573249,otc alterations permit,03/27/2015,6564,001,1300,Sanchez,,street space permit,issued,,,,,1.0,,,8.0,,,,94131.0
M721609,otc alterations permit,09/13/2016,1430,007,215,03rd,,street space permit,issued,,,,,1.0,,,1.0,,,,94118.0
201507091104,otc alterations permit,07/09/2015,6508,028,3979,24th,,reroofing,complete,,,,5500.0,5500.0,2 family dwelling,,8.0,2 family dwelling,,0.0,94114.0
201510210432,otc alterations permit,10/21/2015,3157,009,200,Judson,,"replace one side window, to comply with nov# 201549111, item #3l, same size & location.",complete,,2.0,2.0,50.0,300.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,0.0,94112.0
201501085220,otc alterations permit,01/08/2015,3509,015,151,10th,,"add, relocate and plugg prinklers per t.i. add 1 and plug 4 on the 1st floor. add 7, relocate 7 and plug 6 on the 2nd floor. reference appl. 2014.1105.0762. maher n/a.",complete,,2.0,2.0,7710.0,7710.0,office,0.0,6.0,office,0.0,2.0,94103.0
201507302929,otc alterations permit,07/30/2015,3774,026,270,Brannan,,"7th floor tenant improvement with minor demo, non-bearing walls, new yoga room, wellness room, team room & communicatoin room, mep included  in this permit.  sprinklers & fire alarm on separate permit. n/a maher ordinance",complete,,7.0,7.0,3762089.0,3762089.0,office,0.0,6.0,office,0.0,2.0,94107.0
201308144316,otc alterations permit,08/14/2013,0171,054,550,Davis,37.0,"#37 - replace kitchen & bath cabinetry, install drop ceiling in kitchen, recessed led lighting, retrim apartment, install new doors.  drop ceiling to be under separate permit.",issued,,4.0,4.0,110000.0,110000.0,apartments,50.0,3.0,apartments,50.0,2.0,94111.0
201307151819,otc alterations permit,07/15/2013,2083,037,1889,46th,,bathroom remodel installation of new bath and shower and vanity in same location. floor to ceiling tile.  no structural,complete,,2.0,2.0,20000.0,20000.0,1 family dwelling,1.0,4.0,1 family dwelling,1.0,0.0,94122.0
201408204233,otc alterations permit,08/20/2014,3576,076,80,Sycamore,,voluntary foundaiton upgrade at ground floor.,complete,,3.0,3.0,45000.0,54070.0,2 family dwelling,2.0,9.0,2 family dwelling,2.0,2.0,94110.0
201304023568,otc alterations permit,04/02/2013,6604,043,1543,Diamond,,to obtain final inspection for work approved under pa#2009-02-1920. all work is complete.,issued,,2.0,3.0,1.0,1.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,0.0,94131.0
M506968,otc alterations permit,07/25/2014,4591C,093,501,Donahue,,street space permit,issued,,,,,1.0,,,10.0,,,,94124.0
201705187037,otc alterations permit,05/18/2017,2747,005C,3533,Market,,to comply with nov #201644211. inkind repair of approximately 70 sf of stucco on the front facade due to an auto accident,complete,,3.0,3.0,10000.0,10000.0,2 family dwelling,2.0,8.0,2 family dwelling,2.0,0.0,94114.0
201407312738,otc alterations permit,07/31/2014,3578,052,58,Dorland,,"structural strengthening per plan.install plywood sheathing @ all floors, new center beam and upgrade foundation.",complete,,3.0,3.0,60000.0,130000.0,2 family dwelling,2.0,8.0,2 family dwelling,2.0,2.0,94110.0
201503231600,otc alterations permit,03/23/2015,0534,014,2250,Union,,to obtain final inspection for work approved under pa#201307051239. all work is complete.  compliance with maher ordinance no 155-13 not required.,expired,,3.0,3.0,1.0,1.0,office,,2.0,office,,0.0,94123.0
201311010936,otc alterations permit,11/01/2013,1668,049,845,25th,0.0,"voluntary structural strenthening-common area permit, same owner",complete,,3.0,3.0,9000.0,30000.0,2 family dwelling,2.0,1.0,2 family dwelling,2.0,2.0,94121.0
M671107,otc alterations permit,03/09/2016,5645,002A,173,Bocana,,street space,issued,,,,,1.0,,,9.0,,,,94110.0
M454847,otc alterations permit,01/02/2014,0978,018,2750,Jackson,,street space permit,issued,,,,,1.0,,,2.0,,,,94115.0
201512155155,otc alterations permit,12/15/2015,0127,085,999,Green,2102.0,"#2102 - remodel of (e) kitchen , (e) master bath, (e) hall bath , (e) powder room, master closet bed closets, hall closets. all workj is non-structural only.",complete,,24.0,24.0,50000.0,235100.0,apartments,106.0,3.0,apartments,106.0,2.0,94133.0
201304245401,otc alterations permit,04/24/2013,6566,008B,1348,Dolores,,apt #5 remodel extg apt #5 to correction of work of kichen without permit. nov #201391501,complete,,3.0,3.0,20000.0,20000.0,apartments,6.0,8.0,apartments,6.0,2.0,94131.0
201511193147,otc alterations permit,11/19/2015,7207,009,2960,24th,,"add bathoom, media room & remodel (e) family room at 1st floor  per plan.",issued,,2.0,2.0,33200.0,33200.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,2.0,94132.0
201708175128,otc alterations permit,08/17/2017,0062,032,454,Lombard,1.0,"soft story retrofit pser sfebc chapter 4d, 2016 cebc appendix a-4, new type shear walls, steel column retrofit inside garage at 6 location and steel column retrofit at front of building at 2 location.",issued,,4.0,4.0,40000.0,40000.0,apartments,11.0,3.0,apartments,11.0,2.0,94133.0
201604144810,otc alterations permit,04/14/2016,3738,011,301,Howard,,"13th floor, ste 1300: ti at suite 1300 in a 22 story bldg build out consisting of demo to existing partitions, construction of new wall, glazing, ceiling, and power/data, finishes. n/a maher ord. # 155-13",complete,,22.0,22.0,60000.0,60000.0,office,0.0,6.0,office,0.0,2.0,94105.0
201303142184,otc alterations permit,03/14/2013,2603,006,1478,Masonic,,replace ceiling sheetrock in first floor bath,complete,,2.0,2.0,1000.0,1000.0,1 family dwelling,1.0,8.0,1 family dwelling,1.0,0.0,94117.0
201310179604,otc alterations permit,10/17/2013,2819,037,11,Castenada,,remove 3rd and 4th floor 2nd exit stair,complete,,4.0,4.0,3000.0,3000.0,1 family dwelling,1.0,7.0,1 family dwelling,1.0,2.0,94116.0
201402037601,sign - erect,02/03/2014,8711,023,185,Channel,,to erect new electrical channel building identification sign. n/a for the maher ordinance #155-13,issued,,8.0,,4500.0,4500.0,apartments,0.0,6.0,,,2.0,94158.0
201408113499,otc alterations permit,08/11/2014,3542,017,2174,Market,,install new mechanical and lighting for t.i. bars and restaurant on basement and 1st floor. ref. appl. #2013.1231.5432. maher n/a.,complete,,3.0,3.0,80000.0,80000.0,food/beverage hndlng,0.0,8.0,food/beverage hndlng,0.0,2.0,94114.0
201406178570,otc alterations permit,06/17/2014,0498,001,1311,Chestnut,,reroofing,complete,,3.0,3.0,12500.0,12500.0,apartments,5.0,2.0,apartments,5.0,0.0,94123.0
